item,entropy,expected_logprob,within_logprob,between_logprob
1,5.25630521774292,-2.7186279296875,-7.305218696594238,-6.693812370300293
2,5.072635650634766,-7.087581634521484,-4.9933061599731445,-6.09117317199707
3,3.980731964111328,-1.2918119430541992,-7.524815559387207,-7.249211311340332
4,5.52252197265625,-4.244444847106934,-9.47004508972168,-9.279608726501465
5,4.0057549476623535,-3.179290771484375,-3.701785087585449,-7.134883880615234
6,5.257040977478027,-3.0505285263061523,-8.064030647277832,-8.416358947753906
7,6.411153793334961,-5.236015319824219,-9.303133010864258,-7.625064373016357
8,6.199272155761719,-5.52082633972168,-6.791460990905762,-4.92696475982666
9,4.601019382476807,-2.277153968811035,-5.806024551391602,-10.95897388458252
10,4.890448570251465,-6.435588836669922,-3.695298194885254,-11.9064302444458
11,5.726553440093994,-6.005637168884277,-10.355951309204102,-9.299837112426758
12,5.129687786102295,-3.8310976028442383,-8.374160766601562,-8.405085563659668
13,4.130360126495361,-2.88553524017334,-3.3425464630126953,-4.792692184448242
14,3.4182634353637695,-1.5019960403442383,-4.887896537780762,-7.685013771057129
15,1.5370235443115234,-0.32233619689941406,-3.956587791442871,-7.9885711669921875
16,3.810917377471924,-1.8496103286743164,-3.773451805114746,-4.240569114685059
17,5.427642822265625,-10.20920181274414,-9.879403114318848,-8.126398086547852
18,3.695996046066284,-5.057781219482422,-12.391372680664062,-7.343238830566406
19,4.611795425415039,-2.455923080444336,-6.748774528503418,-11.846038818359375
20,4.047723770141602,-1.2644309997558594,-6.081744194030762,-11.470794677734375
21,5.248950481414795,-2.4963483810424805,-4.964303016662598,-5.546666145324707
22,1.8996614217758179,-1.7714099884033203,-7.512036323547363,-6.726495742797852
23,3.4904909133911133,-2.5027875900268555,-3.485856056213379,-7.811915397644043
24,2.8917179107666016,-0.5124778747558594,-4.537304878234863,-6.014642715454102
25,4.233836650848389,-1.5859489440917969,-5.058162689208984,-9.233612060546875
26,4.706484317779541,-1.5405073165893555,-4.436527252197266,-10.885354995727539
27,5.6999382972717285,-6.963051795959473,-3.8844451904296875,-4.9016923904418945
28,4.752152442932129,-6.281441688537598,-10.692140579223633,-6.755344390869141
29,5.828166484832764,-4.647365570068359,-5.300100326538086,-9.005526542663574
30,5.888068199157715,-2.796034812927246,-6.510771751403809,-9.960037231445312
31,5.062700271606445,-3.53872013092041,-6.124515533447266,-8.205687522888184
32,5.053805351257324,-3.97678279876709,-7.287729263305664,-7.448666572570801
33,4.572964191436768,-2.4029226303100586,-6.747183799743652,-5.004970550537109
34,3.326673984527588,-0.8327503204345703,-4.873495101928711,-5.648623466491699
35,1.3312251567840576,-0.21725082397460938,-5.645242691040039,-5.285438537597656
36,2.8766820430755615,-5.330495834350586,-13.985740661621094,-9.779119491577148
37,6.408295154571533,-3.6598587036132812,-10.100887298583984,-8.203824996948242
38,5.465602397918701,-8.199481964111328,-6.91020393371582,-6.933202743530273
39,3.9333019256591797,-6.323439598083496,-7.948988914489746,-8.861621856689453
40,4.628866672515869,-5.252566337585449,-7.3594255447387695,-7.0862226486206055
41,5.38240909576416,-1.8133344650268555,-7.909176349639893,-8.03233528137207
42,6.056941032409668,-8.707653045654297,-7.37990665435791,-11.419342041015625
43,2.9859395027160645,-6.119647979736328,-9.64571475982666,-9.470603942871094
44,7.023553371429443,-3.0617055892944336,-6.674102306365967,-8.87846565246582
45,5.824230194091797,-7.489439964294434,-8.16810131072998,-13.255461692810059
46,1.0343459844589233,-10.537846565246582,-12.426065444946289,-14.43499755859375
47,6.241850852966309,-5.308374404907227,-7.229602813720703,-10.127287864685059
48,6.529634475708008,-7.946852207183838,-6.505903244018555,-7.408829212188721
49,3.998279333114624,-0.9999513626098633,-5.103730201721191,-5.321038246154785
50,2.955298900604248,-0.5458440780639648,-9.40536117553711,-4.210214614868164
51,5.349774360656738,-2.474163055419922,-6.289529800415039,-7.812821865081787
52,1.2470524311065674,-0.2627220153808594,-8.944320678710938,-12.140565872192383
53,5.213181018829346,-4.961950302124023,-8.694355964660645,-8.396080017089844
54,6.535925388336182,-11.269865036010742,-9.173028945922852,-9.139822006225586
55,4.128465175628662,-3.8246030807495117,-8.15185832977295,-12.48446273803711
56,4.3996968269348145,-5.6557416915893555,-7.766767501831055,-10.928985595703125
57,4.423951148986816,-1.9505796432495117,-4.710010528564453,-9.780336380004883
58,3.893566370010376,-3.564167022705078,-3.4789562225341797,-8.441283226013184
59,4.6920857429504395,-5.082977294921875,-10.122722625732422,-5.941553115844727
60,6.721745014190674,-4.511153221130371,-6.3485283851623535,-4.789163589477539
61,4.979140281677246,-11.005997657775879,-15.407699584960938,-11.227690696716309
62,6.0146636962890625,-8.056005477905273,-7.698636054992676,-9.037084579467773
63,5.04736328125,-8.913288116455078,-9.777918815612793,-10.869537353515625
64,5.923336029052734,-6.4733123779296875,-6.997054100036621,-10.935303688049316
65,3.755764961242676,-6.886279106140137,-8.484128952026367,-14.84221076965332
66,4.472787380218506,-2.322014808654785,-5.369044303894043,-11.267773628234863
67,5.236374378204346,-7.560162544250488,-7.020106315612793,-5.399003028869629
