item,entropy,expected_logprob,within_logprob,between_logprob,parameters
1,4.243171215057373,-3.3433189392089844,-7.8396172523498535,-6.758317947387695,6658473984
2,4.459643840789795,-4.361712455749512,-4.673923492431641,-7.51871395111084,6658473984
3,2.857583999633789,-0.7111873626708984,-6.690852165222168,-10.063901901245117,6658473984
4,5.198416709899902,-2.3057308197021484,-8.693655014038086,-9.470261573791504,6658473984
5,3.1834914684295654,-1.6833686828613281,-3.398625373840332,-8.765541076660156,6658473984
6,3.263378858566284,-0.7263097763061523,-6.38003396987915,-8.204394340515137,6658473984
7,6.003866195678711,-2.605666160583496,-6.997981548309326,-7.072381973266602,6658473984
8,5.412851333618164,-3.1269731521606445,-6.81997537612915,-8.54079818725586,6658473984
9,4.043830871582031,-1.4266958236694336,-4.600708961486816,-11.138875961303711,6658473984
10,4.163005352020264,-3.857699394226074,-5.845942497253418,-12.317124366760254,6658473984
11,4.9582343101501465,-5.54232120513916,-12.02442741394043,-8.962905883789062,6658473984
12,3.2710986137390137,-2.613713264465332,-6.49660587310791,-9.584753036499023,6658473984
13,3.371738910675049,-2.8809614181518555,-4.619443893432617,-6.17324161529541,6658473984
14,2.495262861251831,-2.2987442016601562,-6.001548767089844,-10.11865520477295,6658473984
15,1.9751286506652832,-0.4945993423461914,-2.214435577392578,-5.806888580322266,6658473984
16,2.5950145721435547,-1.7658634185791016,-4.901266098022461,-7.072023868560791,6658473984
17,4.3165483474731445,-9.610082626342773,-7.701425552368164,-8.227802276611328,6658473984
18,3.5123889446258545,-6.033534049987793,-12.717551231384277,-8.517563819885254,6658473984
19,4.017600059509277,-1.234318733215332,-7.026787281036377,-11.822183609008789,6658473984
20,4.542774200439453,-2.331613540649414,-7.717435836791992,-11.826567649841309,6658473984
21,4.217807769775391,-2.0607242584228516,-3.2414941787719727,-3.409613609313965,6658473984
22,2.0605626106262207,-0.9636688232421875,-5.469413757324219,-8.470560073852539,6658473984
23,2.6535403728485107,-0.7865943908691406,-6.237308502197266,-9.03632640838623,6658473984
24,1.116808533668518,-0.14928436279296875,-7.436497211456299,-10.003841400146484,6658473984
25,2.8952884674072266,-0.8264856338500977,-4.784375190734863,-8.847633361816406,6658473984
26,3.727987766265869,-0.924443244934082,-4.340396881103516,-9.452878952026367,6658473984
27,4.484531879425049,-1.7389335632324219,-3.9673070907592773,-6.6592936515808105,6658473984
28,5.006886005401611,-3.713747024536133,-9.440774917602539,-7.977114677429199,6658473984
29,4.215484142303467,-3.8957767486572266,-4.673653602600098,-9.049516677856445,6658473984
30,5.441829681396484,-1.9898595809936523,-6.178127288818359,-10.709595680236816,6658473984
31,3.4548850059509277,-1.6096248626708984,-6.194316864013672,-11.905641555786133,6658473984
32,3.2895007133483887,-1.2318792343139648,-7.304328441619873,-9.709794998168945,6658473984
33,2.350724935531616,-1.1229839324951172,-5.4132585525512695,-3.9213714599609375,6658473984
34,2.2112979888916016,-0.7367849349975586,-4.469473838806152,-7.581051826477051,6658473984
35,1.2879409790039062,-0.21870803833007812,-5.7534894943237305,-6.844547271728516,6658473984
36,2.979992628097534,-1.8738536834716797,-10.501604080200195,-9.131948471069336,6658473984
37,5.73972225189209,-2.746842384338379,-10.039426803588867,-7.791595935821533,6658473984
38,3.699208974838257,-5.5771965980529785,-6.086787700653076,-6.392653465270996,6658473984
