item,entropy,expected_logprob,within_logprob,between_logprob,parameters
1,4.451076507568359,-3.159942626953125,-8.283588409423828,-7.467071533203125,1372178432
2,5.141084671020508,-6.074956893920898,-4.375444412231445,-7.8352508544921875,1372178432
3,3.297556161880493,-1.0656566619873047,-6.060384750366211,-10.331518173217773,1372178432
4,5.115870952606201,-3.197244644165039,-8.625082015991211,-9.070146560668945,1372178432
5,1.3310714960098267,-0.2137470245361328,-5.694789886474609,-9.431882858276367,1372178432
6,4.347169399261475,-2.0526180267333984,-6.100421905517578,-6.453615188598633,1372178432
7,6.238917350769043,-3.7024784088134766,-7.603914260864258,-6.847452163696289,1372178432
8,5.592818260192871,-4.704048156738281,-7.528116226196289,-7.699380874633789,1372178432
9,4.471368312835693,-2.1434154510498047,-5.375522613525391,-9.758768081665039,1372178432
10,5.002206802368164,-6.358217239379883,-4.333349227905273,-10.989273071289062,1372178432
11,4.834980487823486,-6.465404510498047,-11.898233413696289,-10.057283401489258,1372178432
12,4.421350955963135,-2.545042037963867,-8.702869415283203,-7.779697418212891,1372178432
13,3.3443872928619385,-2.0595531463623047,-3.9247665405273438,-6.655515670776367,1372178432
14,2.728114366531372,-1.2282638549804688,-5.235042572021484,-9.17708969116211,1372178432
15,2.643153429031372,-1.3228797912597656,-1.2559165954589844,-7.140773773193359,1372178432
16,2.3205394744873047,-1.1975421905517578,-6.319873809814453,-6.25274658203125,1372178432
17,4.2923784255981445,-10.31540298461914,-7.809125900268555,-10.143815994262695,1372178432
18,4.145296096801758,-6.138277053833008,-12.044763565063477,-8.015466690063477,1372178432
19,2.265834331512451,-0.5073432922363281,-6.77459716796875,-11.638010025024414,1372178432
20,5.167681694030762,-2.2772483825683594,-7.126911163330078,-10.772787094116211,1372178432
21,3.936062812805176,-1.2202167510986328,-4.0204925537109375,-7.145719528198242,1372178432
22,1.992405652999878,-1.1328449249267578,-4.817602157592773,-6.410451889038086,1372178432
23,2.8935132026672363,-1.0638141632080078,-5.933271408081055,-7.859663009643555,1372178432
24,2.015453338623047,-0.38185882568359375,-6.505208969116211,-10.179948806762695,1372178432
25,4.423313617706299,-1.7122421264648438,-3.702695846557617,-8.758878707885742,1372178432
26,4.61270809173584,-3.216524124145508,-3.616212844848633,-12.087362289428711,1372178432
27,5.140514373779297,-4.359550476074219,-3.1956405639648438,-6.350584030151367,1372178432
28,5.6081085205078125,-3.3867969512939453,-8.834943771362305,-6.614847183227539,1372178432
29,5.147959232330322,-3.7362117767333984,-2.852741241455078,-11.417207717895508,1372178432
30,4.917761325836182,-2.6883621215820312,-6.600728988647461,-8.91157341003418,1372178432
31,3.2763478755950928,-1.6513423919677734,-4.064292907714844,-9.790386199951172,1372178432
32,3.8419597148895264,-2.2597732543945312,-7.65997314453125,-7.899147033691406,1372178432
33,3.3118643760681152,-0.9676742553710938,-5.795988082885742,-3.8432674407958984,1372178432
34,3.101896047592163,-1.6610984802246094,-3.1885452270507812,-5.432170867919922,1372178432
35,1.4792749881744385,-0.5207138061523438,-4.271640777587891,-5.698225021362305,1372178432
36,3.2826650142669678,-3.1538963317871094,-12.006889343261719,-8.606294631958008,1372178432
37,5.922278881072998,-2.837656021118164,-10.057695388793945,-6.843208312988281,1372178432
38,4.195785045623779,-5.784082412719727,-6.058929443359375,-7.03388786315918,1372178432
39,4.436742305755615,-5.113641738891602,-6.571311950683594,-7.1139678955078125,1372178432
40,4.548971176147461,-5.2584686279296875,-6.541172027587891,-6.22688102722168,1372178432
41,4.786867618560791,-1.7244911193847656,-5.348594665527344,-8.863582611083984,1372178432
42,5.405147552490234,-7.4407501220703125,-6.04277229309082,-10.94066047668457,1372178432
43,3.242547035217285,-2.5675926208496094,-7.060527801513672,-10.694122314453125,1372178432
44,6.148823261260986,-2.4112682342529297,-6.397991180419922,-9.970515251159668,1372178432
45,6.070544242858887,-6.302248001098633,-7.034990310668945,-13.385828018188477,1372178432
46,1.7699602842330933,-8.688968658447266,-9.855659484863281,-11.601879119873047,1372178432
47,5.682891845703125,-5.7126312255859375,-7.70820426940918,-8.887750625610352,1372178432
48,6.030677318572998,-6.889915466308594,-5.614070892333984,-6.387556076049805,1372178432
49,0.8628697395324707,-0.11607933044433594,-8.446269989013672,-8.238214492797852,1372178432
50,3.2382664680480957,-0.5874805450439453,-8.642489433288574,-6.350665092468262,1372178432
51,5.976804256439209,-1.8230857849121094,-4.793207168579102,-7.526378631591797,1372178432
52,1.4277132749557495,-0.3007164001464844,-8.200798034667969,-12.425894737243652,1372178432
53,4.30430793762207,-6.194936752319336,-8.640460968017578,-7.652027130126953,1372178432
54,5.618197917938232,-12.372514724731445,-10.085046768188477,-8.996675491333008,1372178432
55,2.859318733215332,-3.9202346801757812,-7.260074615478516,-12.416646003723145,1372178432
56,4.541172027587891,-5.142498016357422,-7.101898193359375,-11.263782501220703,1372178432
57,2.323542833328247,-1.3334617614746094,-5.477109909057617,-11.29758071899414,1372178432
58,4.290797233581543,-2.580923080444336,-3.516529083251953,-8.675436019897461,1372178432
59,4.374581336975098,-2.940591812133789,-6.952175140380859,-5.932811737060547,1372178432
60,5.8580522537231445,-4.315574645996094,-5.287485122680664,-3.6696720123291016,1372178432
61,5.545134544372559,-8.395689010620117,-12.59006118774414,-12.131587028503418,1372178432
62,6.016776084899902,-7.9465484619140625,-6.280998229980469,-8.545608520507812,1372178432
63,5.466497898101807,-4.074495315551758,-8.587182998657227,-13.36068344116211,1372178432
64,5.17393684387207,-6.160301208496094,-5.011728286743164,-10.44448471069336,1372178432
65,4.252915859222412,-4.953023910522461,-7.283992767333984,-12.08283805847168,1372178432
66,3.9882051944732666,-2.9928665161132812,-6.344621658325195,-14.666544914245605,1372178432
67,5.520578861236572,-7.07011604309082,-7.117012023925781,-6.0912933349609375,1372178432
68,4.586684703826904,-2.936838150024414,-7.5835676193237305,-7.725669860839844,1372178432
69,5.051171779632568,-2.472318649291992,-4.8761444091796875,-7.665260314941406,1372178432
70,3.2813756465911865,-1.7590522766113281,-4.545177459716797,-7.007440567016602,1372178432
71,5.050392150878906,-1.6100425720214844,-4.989265441894531,-4.572629928588867,1372178432
72,3.1596434116363525,-0.7237014770507812,-3.7521419525146484,-4.540605545043945,1372178432
73,4.8644561767578125,-2.12164306640625,-4.486780166625977,-7.204965591430664,1372178432
74,5.705493450164795,-3.3886642456054688,-6.959316253662109,-8.886201858520508,1372178432
75,4.948996543884277,-1.8273181915283203,-6.407243728637695,-7.338970184326172,1372178432
76,5.062647819519043,-2.328155517578125,-1.853616714477539,-6.278400421142578,1372178432
77,5.2555084228515625,-5.229181289672852,-6.905509948730469,-10.365907669067383,1372178432
78,4.171009540557861,-4.775108337402344,-13.784269332885742,-12.586112976074219,1372178432
79,2.8443233966827393,-1.1645183563232422,-5.28697395324707,-16.695236206054688,1372178432
80,4.536441802978516,-1.6535320281982422,-4.140522003173828,-10.868966102600098,1372178432
81,4.185959339141846,-1.2089347839355469,-3.584901809692383,-7.0283203125,1372178432
82,2.638986349105835,-0.4572429656982422,-4.57670783996582,-13.310006141662598,1372178432
83,4.4986796379089355,-2.8252105712890625,-6.0109100341796875,-5.89578914642334,1372178432
84,5.240497589111328,-5.216257095336914,-7.190250396728516,-9.968215942382812,1372178432
85,5.4570159912109375,-1.8900489807128906,-11.296350479125977,-13.788518905639648,1372178432
86,0.6331546902656555,-0.07907485961914062,-5.791406631469727,-6.306049346923828,1372178432
87,3.7446913719177246,-1.0275287628173828,-5.458211898803711,-10.603322982788086,1372178432
88,3.1062514781951904,-0.6402187347412109,-3.3734607696533203,-6.073644638061523,1372178432
89,4.934701442718506,-1.791421890258789,-5.855810165405273,-6.727483749389648,1372178432
90,5.386784553527832,-4.248481750488281,-4.549106597900391,-11.966890335083008,1372178432
91,1.426480770111084,-0.2763252258300781,-3.4596729278564453,-9.942619323730469,1372178432
92,3.691349506378174,-1.2190570831298828,-4.095211029052734,-10.052495956420898,1372178432
93,3.846686840057373,-2.64383602142334,-8.01927375793457,-9.181483268737793,1372178432
94,4.429889678955078,-3.050808906555176,-7.479217529296875,-7.805005073547363,1372178432
95,4.771857261657715,-3.7749643325805664,-6.574051380157471,-10.046128273010254,1372178432
96,5.276905059814453,-2.9929652214050293,-4.066152572631836,-7.522975444793701,1372178432
97,6.888166427612305,-4.546609878540039,-8.324708938598633,-6.6526031494140625,1372178432
98,4.98331356048584,-3.1425933837890625,-4.402647018432617,-9.558149337768555,1372178432
99,2.109814405441284,-0.3457984924316406,-8.378963470458984,-10.148849487304688,1372178432
100,4.776109218597412,-1.5848312377929688,-7.886043548583984,-8.409551620483398,1372178432
101,3.986835241317749,-1.2482318878173828,-3.7276058197021484,-6.311626434326172,1372178432
102,6.166069030761719,-3.8869457244873047,-6.672084808349609,-8.55528450012207,1372178432
103,5.762062072753906,-4.221406936645508,-7.629018783569336,-5.583974838256836,1372178432
104,3.7819666862487793,-6.975297927856445,-9.469442367553711,-10.421722412109375,1372178432
105,3.808072328567505,-1.1861705780029297,-4.195810317993164,-6.004783630371094,1372178432
106,4.112212181091309,-8.821891784667969,-13.636232376098633,-15.045692443847656,1372178432
107,5.343245506286621,-1.9375324249267578,-5.265537261962891,-7.061685562133789,1372178432
108,4.037928104400635,-4.462591171264648,-12.227864265441895,-8.13443660736084,1372178432
109,4.020639419555664,-3.990093231201172,-12.273439407348633,-9.77939224243164,1372178432
110,4.315736770629883,-8.145461082458496,-4.543087005615234,-7.181768417358398,1372178432
111,3.1360855102539062,-0.6241073608398438,-4.183172225952148,-11.762391090393066,1372178432
112,2.309917449951172,-0.9214038848876953,-5.5733184814453125,-11.60547924041748,1372178432
113,4.898748397827148,-3.4660301208496094,-6.744451522827148,-9.118261337280273,1372178432
114,5.634167671203613,-3.1198883056640625,-9.326025009155273,-10.98130989074707,1372178432
115,4.748439311981201,-7.452108383178711,-5.479997634887695,-7.315454483032227,1372178432
116,5.862372398376465,-3.692129135131836,-7.874183654785156,-12.258344650268555,1372178432
117,3.7002599239349365,-0.8378849029541016,-3.7654895782470703,-7.145779609680176,1372178432
118,5.623537063598633,-2.003782272338867,-7.013948440551758,-5.985126495361328,1372178432
119,5.293262004852295,-7.130461692810059,-5.721864700317383,-4.447292327880859,1372178432
120,2.7054014205932617,-2.6729488372802734,-4.739189147949219,-7.391644477844238,1372178432
121,4.630876541137695,-1.5351905822753906,-10.498100280761719,-14.188117980957031,1372178432
122,5.316751003265381,-10.806133270263672,-9.15144157409668,-9.01951789855957,1372178432
123,3.0171375274658203,-2.1680946350097656,-2.358926773071289,-6.931406021118164,1372178432
124,3.0322110652923584,-1.1167526245117188,-6.132356643676758,-12.480390548706055,1372178432
125,2.1979053020477295,-0.392974853515625,-5.998960494995117,-3.910367965698242,1372178432
126,3.494500160217285,-0.9900913238525391,-5.317852020263672,-10.971166610717773,1372178432
127,5.58968448638916,-9.157838821411133,-9.670583724975586,-10.258996963500977,1372178432
128,2.6541848182678223,-0.7042484283447266,-24.039804458618164,-28.36606216430664,1372178432
129,4.696407794952393,-1.469472885131836,-11.240205764770508,-13.196474075317383,1372178432
130,5.4281206130981445,-6.286750793457031,-6.735649108886719,-11.618450164794922,1372178432
131,4.476746082305908,-3.695598602294922,-7.172538757324219,-8.037195205688477,1372178432
132,4.234461307525635,-2.994638442993164,-7.183958053588867,-14.348348617553711,1372178432
