item,entropy,expected_logprob,within_logprob,between_logprob,parameters
1,4.992926120758057,-2.3744564056396484,-6.076417922973633,-6.642422676086426,1414647808
2,5.125482082366943,-6.190168380737305,-4.868762016296387,-7.815622329711914,1414647808
3,3.932199716567993,-1.3274116516113281,-7.2366743087768555,-7.823690414428711,1414647808
4,5.822408199310303,-4.880605697631836,-7.380876541137695,-8.321395874023438,1414647808
5,3.2241060733795166,-1.3476543426513672,-5.057307243347168,-8.474446296691895,1414647808
6,3.406841278076172,-3.5988636016845703,-7.326567649841309,-10.959278106689453,1414647808
7,6.31063175201416,-4.640560150146484,-7.551335334777832,-7.392520904541016,1414647808
8,5.981945037841797,-5.348370552062988,-6.856183052062988,-6.15860652923584,1414647808
9,4.146326065063477,-1.31085205078125,-6.5985822677612305,-10.952522277832031,1414647808
10,4.630069732666016,-5.897757530212402,-5.087978363037109,-9.682912826538086,1414647808
11,5.381283283233643,-5.796492576599121,-10.54123306274414,-7.871623992919922,1414647808
12,4.851034641265869,-2.7796192169189453,-6.836416244506836,-8.537846565246582,1414647808
13,3.513397455215454,-1.7400131225585938,-3.345534324645996,-6.349599838256836,1414647808
14,3.169424295425415,-1.7056331634521484,-4.863391876220703,-8.772436141967773,1414647808
15,2.2471325397491455,-0.6496086120605469,-2.246525764465332,-7.436379432678223,1414647808
16,3.181523323059082,-0.90069580078125,-4.814091682434082,-5.929653167724609,1414647808
17,5.3790788650512695,-7.876928329467773,-7.502366065979004,-8.101649284362793,1414647808
18,3.9046013355255127,-6.904404640197754,-11.212203979492188,-7.3487348556518555,1414647808
19,4.610596179962158,-1.6077117919921875,-5.961994171142578,-9.997431755065918,1414647808
20,5.259601593017578,-2.4430932998657227,-6.861440658569336,-11.025166511535645,1414647808
21,4.867257118225098,-2.4850425720214844,-4.170792579650879,-4.212810516357422,1414647808
22,1.5527983903884888,-2.5056514739990234,-5.219231605529785,-6.366730690002441,1414647808
23,3.8384737968444824,-2.1780757904052734,-3.1390438079833984,-7.316684722900391,1414647808
24,2.7787585258483887,-0.6037197113037109,-4.6163129806518555,-9.717811584472656,1414647808
25,4.60833740234375,-1.926102638244629,-4.82822322845459,-7.9162492752075195,1414647808
26,4.424492359161377,-1.6903343200683594,-4.4093122482299805,-10.61354923248291,1414647808
27,5.092187881469727,-5.121572494506836,-3.3474559783935547,-6.382474899291992,1414647808
28,4.628522872924805,-3.812349319458008,-9.060027122497559,-7.160824775695801,1414647808
29,5.912343978881836,-4.703041076660156,-4.800634384155273,-7.599523544311523,1414647808
30,5.273845195770264,-2.465028762817383,-7.332403182983398,-8.879830360412598,1414647808
31,4.663209915161133,-2.0362014770507812,-5.839252471923828,-9.998405456542969,1414647808
32,3.8417510986328125,-2.3406238555908203,-6.6779584884643555,-9.574871063232422,1414647808
33,2.6154122352600098,-0.6326465606689453,-6.7630767822265625,-5.037440299987793,1414647808
34,3.6684513092041016,-1.460479736328125,-3.3673009872436523,-5.544337272644043,1414647808
35,3.0374674797058105,-1.0137348175048828,-3.848203659057617,-5.112421989440918,1414647808
36,2.2112560272216797,-5.53523063659668,-13.13720989227295,-10.92911148071289,1414647808
37,5.481286525726318,-3.2985801696777344,-11.440435409545898,-7.240428924560547,1414647808
38,4.76801061630249,-6.695642471313477,-5.571512222290039,-6.437054634094238,1414647808
39,4.056799411773682,-6.356605529785156,-7.164054870605469,-6.961734771728516,1414647808
40,6.153872013092041,-4.639853477478027,-6.481374740600586,-7.003802299499512,1414647808
41,5.302018642425537,-2.067477226257324,-6.076310157775879,-9.123682975769043,1414647808
42,5.524286270141602,-7.715816497802734,-6.968173027038574,-11.184175491333008,1414647808
43,2.939239501953125,-6.350089073181152,-10.854401588439941,-11.974541664123535,1414647808
44,6.817922592163086,-3.3338871002197266,-6.371336936950684,-10.171380996704102,1414647808
45,6.117886066436768,-6.597542762756348,-6.659582138061523,-13.636693000793457,1414647808
46,0.3907451331615448,-8.75843334197998,-12.691213607788086,-13.207246780395508,1414647808
47,6.2780656814575195,-4.830958366394043,-6.06486701965332,-10.556845664978027,1414647808
48,6.057972431182861,-7.948739051818848,-7.495287895202637,-8.073664665222168,1414647808
49,1.1601183414459229,-0.19687843322753906,-7.5684661865234375,-7.396422386169434,1414647808
50,2.9158287048339844,-0.5556831359863281,-9.418706893920898,-3.890993118286133,1414647808
51,5.471887588500977,-1.4625024795532227,-4.953812599182129,-7.071271896362305,1414647808
52,1.49005126953125,-0.28353118896484375,-7.456014633178711,-11.19613265991211,1414647808
53,4.8339524269104,-6.364560127258301,-8.788840293884277,-7.585850715637207,1414647808
54,5.631247520446777,-12.040168762207031,-10.526130676269531,-8.427083015441895,1414647808
55,3.4466071128845215,-2.870138168334961,-8.233860969543457,-12.876222610473633,1414647808
56,4.45062255859375,-4.652388572692871,-6.972018241882324,-10.990036010742188,1414647808
57,3.5154895782470703,-1.6960172653198242,-3.8509521484375,-9.991520881652832,1414647808
58,4.1614089012146,-3.673624038696289,-3.6797895431518555,-8.105631828308105,1414647808
59,4.731672763824463,-2.6114654541015625,-9.92828369140625,-7.23862361907959,1414647808
60,7.0061445236206055,-5.604922294616699,-5.901086807250977,-5.233384132385254,1414647808
61,5.796785354614258,-8.566944122314453,-10.02750015258789,-10.364617347717285,1414647808
62,6.4422287940979,-8.666723251342773,-8.622443199157715,-8.520257949829102,1414647808
63,3.825435161590576,-8.310370445251465,-11.072976112365723,-11.462554931640625,1414647808
64,5.778738021850586,-6.63526725769043,-5.463493347167969,-9.219236373901367,1414647808
65,4.436097145080566,-5.994845390319824,-8.750631332397461,-12.779808044433594,1414647808
66,3.9239935874938965,-3.2388696670532227,-5.839709281921387,-12.552331924438477,1414647808
67,5.220740795135498,-6.788066864013672,-6.716273307800293,-7.524533271789551,1414647808
68,5.665180683135986,-4.972613334655762,-6.333278656005859,-8.274398803710938,1414647808
69,4.825470924377441,-1.6396007537841797,-4.300492286682129,-7.2640180587768555,1414647808
70,3.690605878829956,-2.080850601196289,-4.7556257247924805,-4.7608795166015625,1414647808
71,5.320123672485352,-1.9129772186279297,-4.721957206726074,-3.930445671081543,1414647808
72,3.7095389366149902,-0.9747295379638672,-3.691664695739746,-3.7886247634887695,1414647808
73,5.312569618225098,-1.8017330169677734,-5.992917060852051,-6.733100891113281,1414647808
