item,entropy,expected_logprob,within_logprob,between_logprob
1,4.1739912033081055,-1.5305137634277344,-8.342123031616211,-8.703540802001953
2,4.884974479675293,-5.396892547607422,-4.47772216796875,-7.233024597167969
3,3.283794403076172,-0.9624214172363281,-7.512657165527344,-9.029441833496094
4,4.785370826721191,-3.7460784912109375,-9.066944122314453,-7.714832305908203
5,2.203075885772705,-0.4983062744140625,-4.4749298095703125,-7.320625305175781
6,5.232287406921387,-2.7632980346679688,-7.933746337890625,-6.819904327392578
7,6.027503967285156,-3.6599082946777344,-7.743473052978516,-7.802604675292969
8,4.897381782531738,-4.209285736083984,-7.0488128662109375,-8.787288665771484
9,5.085590362548828,-2.3859901428222656,-3.5452346801757812,-9.74923324584961
10,4.652067184448242,-4.688602447509766,-4.825447082519531,-10.535833358764648
11,4.326925277709961,-5.666530609130859,-11.967178344726562,-9.87254524230957
12,4.424586772918701,-2.2183456420898438,-7.64402961730957,-7.796710968017578
13,4.248930931091309,-2.75970458984375,-3.9913063049316406,-5.156673431396484
14,2.7898614406585693,-1.9948844909667969,-4.775672912597656,-10.042354583740234
15,2.2609853744506836,-1.0705413818359375,-1.010284423828125,-6.252311706542969
16,2.398021697998047,-1.2098617553710938,-5.53411865234375,-7.616870880126953
17,4.6164045333862305,-10.393274307250977,-6.487831115722656,-8.320833206176758
18,4.602634429931641,-4.9172210693359375,-10.657794952392578,-7.349414825439453
19,3.0061893463134766,-0.6313209533691406,-7.4440155029296875,-15.050579071044922
20,3.8800342082977295,-1.4726066589355469,-8.39053726196289,-12.030139923095703
21,4.534976482391357,-2.056610107421875,-4.160442352294922,-5.038532257080078
22,2.0481033325195312,-1.3684501647949219,-5.527931213378906,-7.238086700439453
23,2.777310848236084,-0.8284111022949219,-5.195522308349609,-9.38232421875
24,3.1094231605529785,-0.6677017211914062,-6.285854339599609,-10.439346313476562
25,4.103522777557373,-1.8226165771484375,-3.60040283203125,-8.758098602294922
26,4.797389984130859,-2.43084716796875,-4.7031707763671875,-10.87929916381836
27,5.145576000213623,-3.6998863220214844,-3.5492515563964844,-7.350154876708984
28,5.588827133178711,-3.265613555908203,-10.049270629882812,-5.788997650146484
29,5.4679789543151855,-3.3632583618164062,-3.3252639770507812,-10.154041290283203
30,5.255679607391357,-2.019268035888672,-5.367462158203125,-10.12210464477539
31,2.135786533355713,-1.817626953125,-5.657890319824219,-10.320985794067383
32,2.3697476387023926,-2.94561767578125,-9.066169738769531,-8.741958618164062
33,1.3237358331680298,-0.2744712829589844,-6.181766510009766,-5.041023254394531
34,2.897726058959961,-1.1286163330078125,-3.6156883239746094,-5.217884063720703
35,0.9323387742042542,-0.16389846801757812,-4.973030090332031,-4.864376068115234
36,2.8712687492370605,-3.2418746948242188,-11.196407318115234,-9.405025482177734
37,5.009525299072266,-2.0344810485839844,-11.479188919067383,-7.760829925537109
38,4.099063396453857,-5.658321380615234,-6.215831756591797,-5.848419189453125
39,4.203925132751465,-6.1448516845703125,-6.363121032714844,-4.834190368652344
40,4.85744571685791,-4.690000534057617,-5.439092636108398,-5.776021957397461
41,4.698960304260254,-1.8935813903808594,-5.911045074462891,-10.850919723510742
42,4.913527488708496,-6.112541198730469,-5.712398529052734,-11.517248153686523
43,3.857799530029297,-1.7110404968261719,-6.366901397705078,-5.702869415283203
44,6.540034294128418,-2.995901107788086,-6.421684265136719,-9.683958053588867
45,5.802839279174805,-6.245258331298828,-7.076791763305664,-15.223949432373047
46,2.404024124145508,-10.241729736328125,-9.829696655273438,-10.898048400878906
47,5.582125663757324,-3.375547409057617,-5.356180191040039,-11.522136688232422
48,5.731268882751465,-5.5164947509765625,-4.840106964111328,-6.708900451660156
49,0.8987340331077576,-0.11258316040039062,-8.534246444702148,-7.502328872680664
50,3.1025309562683105,-0.6531028747558594,-8.73954963684082,-6.4296875
51,5.465666770935059,-1.3648643493652344,-4.890785217285156,-9.010747909545898
52,1.4165607690811157,-0.2538604736328125,-8.104923248291016,-12.039958953857422
53,4.326994895935059,-4.468318939208984,-8.714130401611328,-9.751976013183594
54,5.445160388946533,-11.419647216796875,-8.731853485107422,-8.260738372802734
55,2.4410343170166016,-3.6640853881835938,-8.724897384643555,-13.883893966674805
56,4.314626693725586,-3.897247314453125,-5.771087646484375,-10.057901382446289
57,2.980677604675293,-1.3075103759765625,-5.652366638183594,-8.113712310791016
58,4.085278511047363,-2.1597023010253906,-3.060455322265625,-7.425090789794922
59,4.45517635345459,-3.638408660888672,-6.631725311279297,-6.031364440917969
60,5.541646957397461,-3.7506942749023438,-5.675140380859375,-3.5239334106445312
61,5.542721748352051,-7.398210525512695,-11.133966445922852,-10.973123550415039
62,6.07858419418335,-7.422769546508789,-7.767601013183594,-8.017906188964844
63,4.585187911987305,-2.7788772583007812,-8.381059646606445,-11.888498306274414
64,4.926112651824951,-5.896200180053711,-3.8849334716796875,-10.438249588012695
65,4.2004804611206055,-5.188409805297852,-7.714380264282227,-11.84455680847168
66,3.6212856769561768,-2.9899673461914062,-6.625858306884766,-11.642854690551758
67,5.490243434906006,-6.147365570068359,-6.711566925048828,-8.058794021606445
68,4.398622035980225,-2.1873130798339844,-5.328718185424805,-8.791360855102539
69,5.204331874847412,-2.2228126525878906,-6.345710754394531,-6.157253265380859
70,3.697641611099243,-1.5157470703125,-4.740039825439453,-6.587795257568359
71,4.137543678283691,-1.1420097351074219,-4.917682647705078,-4.787189483642578
72,3.177506446838379,-0.6949234008789062,-3.2260360717773438,-4.5794677734375
73,3.4261045455932617,-1.6830024719238281,-6.537040710449219,-8.98178482055664
74,4.596983909606934,-1.3778762817382812,-5.4733428955078125,-7.965847015380859
75,5.368661403656006,-2.34356689453125,-6.58656120300293,-5.919441223144531
76,3.8234238624572754,-1.8873825073242188,-2.9783248901367188,-10.449846267700195
77,4.607113838195801,-4.381797790527344,-7.687196731567383,-10.319507598876953
78,4.292314529418945,-5.408390045166016,-9.46380615234375,-12.84160041809082
79,3.050929546356201,-2.3981361389160156,-5.790172576904297,-13.247028350830078
80,4.238108158111572,-1.7820320129394531,-3.6323108673095703,-12.71707534790039
81,3.2396633625030518,-0.6778640747070312,-3.120494842529297,-7.158515930175781
82,3.148510456085205,-0.6091651916503906,-2.255382537841797,-11.201173782348633
83,4.3185343742370605,-3.178680419921875,-7.048450469970703,-7.608224868774414
84,4.0407843589782715,-7.943540573120117,-9.683805465698242,-10.874202728271484
85,4.475152492523193,-1.9384078979492188,-8.573974609375,-11.103477478027344
86,2.116931676864624,-0.34979248046875,-5.706569671630859,-5.994808197021484
87,4.057706832885742,-1.3773765563964844,-6.3888397216796875,-12.091625213623047
88,1.0727300643920898,-0.14697647094726562,-6.5047454833984375,-10.957296371459961
