item,entropy,expected_logprob,within_logprob,between_logprob,parameters
1,4.438488960266113,-1.8756093978881836,-9.293047904968262,-7.010438919067383,2775208960
2,4.929327964782715,-5.9130964279174805,-4.526832580566406,-7.685294151306152,2775208960
3,3.6238369941711426,-1.160323143005371,-7.480454444885254,-9.616235733032227,2775208960
4,5.562950134277344,-3.9630346298217773,-8.567630767822266,-10.448012351989746,2775208960
5,1.916770100593567,-0.44762611389160156,-6.284811973571777,-8.103035926818848,2775208960
6,3.2991251945495605,-3.350958824157715,-8.523067474365234,-9.463924407958984,2775208960
7,5.486731052398682,-3.734071731567383,-8.075963973999023,-8.20113754272461,2775208960
8,5.906481742858887,-5.595497131347656,-8.497657775878906,-8.720014572143555,2775208960
9,4.729188919067383,-2.1313562393188477,-5.379873275756836,-11.454788208007812,2775208960
10,4.898284912109375,-5.182201385498047,-4.5427751541137695,-10.163270950317383,2775208960
11,5.257349014282227,-6.158652305603027,-12.276742935180664,-8.572595596313477,2775208960
12,4.656516075134277,-2.41940975189209,-7.957642555236816,-8.194396018981934,2775208960
13,3.3938560485839844,-3.1847305297851562,-5.014006614685059,-6.402505874633789,2775208960
14,2.9625089168548584,-1.499049186706543,-5.735079765319824,-9.475360870361328,2775208960
15,1.7257750034332275,-0.4219532012939453,-2.8953447341918945,-7.5757856369018555,2775208960
16,3.3884363174438477,-1.5240516662597656,-5.514164924621582,-6.133273124694824,2775208960
17,4.96746826171875,-11.305301666259766,-7.404264450073242,-7.651337623596191,2775208960
18,3.633967876434326,-5.714391708374023,-11.421318054199219,-6.681506156921387,2775208960
19,3.8319671154022217,-1.0387840270996094,-8.58739948272705,-11.723219871520996,2775208960
20,4.8199591636657715,-1.8030633926391602,-7.9120683670043945,-11.719673156738281,2775208960
21,3.561403274536133,-1.4459571838378906,-4.458440780639648,-5.427206039428711,2775208960
22,2.264655590057373,-1.5263376235961914,-5.972892761230469,-7.010390281677246,2775208960
23,2.448953866958618,-0.6742000579833984,-5.068716049194336,-9.15673542022705,2775208960
24,2.968661069869995,-0.5842504501342773,-5.686370849609375,-9.455127716064453,2775208960
25,4.240357398986816,-1.273611068725586,-4.659066200256348,-8.637842178344727,2775208960
26,3.9410908222198486,-2.108358383178711,-4.376047134399414,-10.129005432128906,2775208960
27,5.349282264709473,-3.8822555541992188,-2.9391326904296875,-4.95661735534668,2775208960
28,5.218432426452637,-2.1767683029174805,-7.347496032714844,-6.156002044677734,2775208960
29,5.216169357299805,-4.495862007141113,-2.956088066101074,-8.94052505493164,2775208960
30,5.984860897064209,-2.4329710006713867,-6.671172142028809,-9.428182601928711,2775208960
31,3.6213455200195312,-1.908879280090332,-5.254770278930664,-10.701089859008789,2775208960
32,3.719503402709961,-2.5052127838134766,-6.939211845397949,-7.075395584106445,2775208960
33,1.5826430320739746,-0.38393402099609375,-6.405223846435547,-4.15904426574707,2775208960
