item,entropy,expected_logprob,within_logprob,between_logprob
1,5.271971702575684,-2.2943167686462402,-7.36893367767334,-6.2625041007995605
2,5.812140941619873,-9.446880340576172,-5.854666233062744,-7.304952144622803
3,5.580119609832764,-3.6166253089904785,-6.477643013000488,-7.756999969482422
4,4.902748107910156,-7.921904563903809,-9.836734771728516,-10.556726455688477
5,3.6352596282958984,-4.98201847076416,-4.717784881591797,-6.172304153442383
6,4.0635576248168945,-3.5365679264068604,-8.176532745361328,-8.929243087768555
7,5.113588333129883,-8.182686805725098,-8.645201683044434,-8.579851150512695
8,6.476131916046143,-5.967016696929932,-7.5240325927734375,-7.044265270233154
9,6.360053539276123,-3.6527926921844482,-6.7363762855529785,-10.60888957977295
10,4.539911270141602,-5.8688645362854,-3.6032309532165527,-8.837540626525879
11,5.89035701751709,-6.6933441162109375,-9.392706871032715,-8.101503372192383
12,6.257365703582764,-4.1673173904418945,-7.659600257873535,-6.177667140960693
13,4.588354110717773,-3.6382133960723877,-3.597907781600952,-4.311554908752441
14,4.333493709564209,-2.176196813583374,-3.1388418674468994,-7.365513324737549
15,1.5454466342926025,-0.30956459045410156,-4.441997051239014,-8.074322700500488
16,5.620319366455078,-2.9105224609375,-5.004167556762695,-5.931209564208984
17,6.976985454559326,-12.47861099243164,-8.62930679321289,-8.445470809936523
18,5.259981632232666,-4.948367118835449,-13.971477508544922,-7.9591450691223145
19,5.6480512619018555,-6.070333003997803,-7.310140132904053,-12.184162139892578
20,5.264223575592041,-3.084399938583374,-8.628778457641602,-8.96723747253418
21,5.325109004974365,-5.527468204498291,-4.938910007476807,-5.122513294219971
22,3.9103102684020996,-2.6676111221313477,-5.379711627960205,-7.785854339599609
23,4.169151782989502,-2.5237793922424316,-5.392420291900635,-7.7495293617248535
24,5.148758888244629,-2.4530534744262695,-3.3787314891815186,-7.837488174438477
25,3.276026964187622,-1.078383445739746,-3.7830562591552734,-7.703391075134277
26,6.06942081451416,-4.772791862487793,-3.6373629570007324,-10.117189407348633
27,5.094600677490234,-9.579341888427734,-5.541329383850098,-3.78701114654541
28,4.445944309234619,-8.076560974121094,-11.736551284790039,-5.249449729919434
29,5.926641464233398,-6.467931747436523,-4.658926963806152,-8.659659385681152
30,6.382719039916992,-3.332491159439087,-8.74709415435791,-10.280513763427734
31,6.4104437828063965,-5.486408233642578,-6.077060699462891,-5.770959854125977
32,5.283411026000977,-5.488218784332275,-7.964040756225586,-8.448119163513184
33,5.201241970062256,-4.388607025146484,-7.093417644500732,-6.232184410095215
34,6.736577987670898,-3.991515874862671,-4.259264945983887,-5.655538558959961
35,5.961820125579834,-2.984163284301758,-3.0813143253326416,-4.621415615081787
36,3.358431339263916,-7.095178127288818,-11.394783020019531,-8.1846284866333
37,6.416193962097168,-4.615659236907959,-10.843368530273438,-7.263347148895264
38,6.119718551635742,-9.866539001464844,-8.323396682739258,-7.713319778442383
39,3.5608315467834473,-7.6155009269714355,-9.287111282348633,-9.554206848144531
40,4.938490867614746,-5.560927391052246,-7.864487171173096,-8.613287925720215
41,5.650341510772705,-5.0066328048706055,-9.590548515319824,-7.410749912261963
42,5.647599220275879,-10.896617889404297,-7.435150146484375,-12.652835845947266
43,2.686023235321045,-7.963420867919922,-11.013847351074219,-14.739652633666992
44,7.356081962585449,-5.568244934082031,-6.079772472381592,-7.840183734893799
45,6.249122142791748,-8.894643783569336,-10.826700210571289,-12.464529991149902
46,3.570042848587036,-11.589635848999023,-11.32273006439209,-12.154215812683105
47,6.827122688293457,-7.452807426452637,-7.922506332397461,-10.454397201538086
48,6.825380325317383,-8.349140167236328,-7.217437744140625,-8.526381492614746
49,4.630133628845215,-1.1663672924041748,-7.3337883949279785,-5.3241682052612305
50,5.034483432769775,-2.2021985054016113,-9.151994705200195,-2.4452953338623047
51,5.456477642059326,-3.4820899963378906,-8.014922142028809,-7.451413631439209
52,3.2262015342712402,-0.8220291137695312,-6.414368152618408,-9.808371543884277
53,6.568602561950684,-8.965702056884766,-13.807868957519531,-6.366940498352051
54,7.005059719085693,-9.973104476928711,-12.311722755432129,-8.64202880859375
55,4.473292350769043,-6.851371765136719,-6.401132583618164,-12.640764236450195
56,5.191291332244873,-5.633557319641113,-7.67287540435791,-12.208608627319336
57,5.232614040374756,-2.384812355041504,-5.439263820648193,-10.157855033874512
58,2.740387201309204,-3.6327269077301025,-4.521871566772461,-9.665653228759766
59,5.2523651123046875,-4.614348411560059,-10.187179565429688,-6.256296157836914
60,7.687828540802002,-8.375110626220703,-9.871118545532227,-6.210965156555176
61,4.047895431518555,-15.149847030639648,-13.816001892089844,-11.9454345703125
62,6.439478874206543,-10.047995567321777,-7.785464286804199,-8.24410629272461
63,5.038733005523682,-9.571407318115234,-14.20108413696289,-13.899066925048828
64,6.59263801574707,-9.66515064239502,-9.250924110412598,-11.757895469665527
65,4.321267604827881,-5.399754047393799,-8.794276237487793,-12.722875595092773
66,5.08225154876709,-7.0064873695373535,-8.385672569274902,-13.615592956542969
67,5.536802291870117,-9.705035209655762,-9.236159324645996,-7.897669315338135
68,5.2682929039001465,-9.467231750488281,-12.301013946533203,-9.364808082580566
69,5.029559135437012,-1.9780423641204834,-2.523975372314453,-4.179513454437256
70,3.9094736576080322,-1.8491148948669434,-4.512472152709961,-4.73286247253418
71,4.925019264221191,-2.2442822456359863,-4.0111494064331055,-3.6814582347869873
72,5.4884843826293945,-2.6268484592437744,-2.5395538806915283,-4.987192153930664
73,6.082590103149414,-4.98383092880249,-4.627889633178711,-7.512178421020508
74,6.074926376342773,-4.131575584411621,-6.715340614318848,-7.754181861877441
75,5.9550886154174805,-4.462401390075684,-10.52207088470459,-10.193582534790039
