item,entropy,expected_logprob,within_logprob,between_logprob,parameters
1,4.217676162719727,-1.9223308563232422,-7.332496643066406,-6.54391622543335,1315758080
2,4.995267868041992,-3.7531423568725586,-3.870655059814453,-7.000746250152588,1315758080
3,3.73482608795166,-1.0867700576782227,-6.452785015106201,-8.853933334350586,1315758080
4,4.268805503845215,-5.596678256988525,-9.86083984375,-10.769798278808594,1315758080
5,2.914411783218384,-1.3841629028320312,-4.543061256408691,-8.638851165771484,1315758080
6,3.716104507446289,-1.9678153991699219,-7.130460739135742,-8.283044815063477,1315758080
7,6.614757537841797,-5.084587574005127,-7.99350643157959,-7.290090084075928,1315758080
8,6.586452960968018,-5.0229291915893555,-7.5403594970703125,-7.493368148803711,1315758080
9,4.542098522186279,-2.042285919189453,-5.304171562194824,-11.232869148254395,1315758080
10,4.19564151763916,-5.448356628417969,-5.772585391998291,-10.551248550415039,1315758080
11,5.00832462310791,-8.68304443359375,-13.644487380981445,-9.961063385009766,1315758080
12,3.8007116317749023,-2.0270395278930664,-8.478032112121582,-7.560414791107178,1315758080
13,3.0282070636749268,-3.4191226959228516,-5.735560417175293,-6.255122661590576,1315758080
14,3.1100611686706543,-1.9917793273925781,-3.8973026275634766,-11.991925239562988,1315758080
15,1.6399637460708618,-0.33420562744140625,-3.1531829833984375,-7.543980121612549,1315758080
16,2.9365086555480957,-1.463266372680664,-4.905061721801758,-5.368936538696289,1315758080
17,5.218447208404541,-11.250619888305664,-6.400716304779053,-8.141660690307617,1315758080
18,3.733182907104492,-6.209177017211914,-10.905938148498535,-8.489765167236328,1315758080
19,5.168898105621338,-3.493405342102051,-10.04167366027832,-8.45977783203125,1315758080
20,5.055351257324219,-3.3477039337158203,-7.419239521026611,-11.965349197387695,1315758080
21,4.365973949432373,-3.007251739501953,-4.5902557373046875,-5.549010276794434,1315758080
22,2.3503506183624268,-1.3580865859985352,-6.7403340339660645,-7.493504524230957,1315758080
23,2.650569438934326,-0.7930898666381836,-6.069111347198486,-8.564565658569336,1315758080
24,2.56451416015625,-0.3917703628540039,-6.659124374389648,-8.906241416931152,1315758080
25,4.28515625,-2.0099058151245117,-4.987323760986328,-9.731063842773438,1315758080
26,4.110031604766846,-1.5508184432983398,-5.0042009353637695,-9.449958801269531,1315758080
27,5.5130815505981445,-4.603405952453613,-3.199507713317871,-5.108600616455078,1315758080
28,5.2900071144104,-5.2195281982421875,-8.203718185424805,-6.401185512542725,1315758080
29,4.275735855102539,-4.733085632324219,-3.783468246459961,-8.115161895751953,1315758080
30,5.361941337585449,-2.45711612701416,-7.8424553871154785,-12.481345176696777,1315758080
31,4.441983699798584,-1.9387798309326172,-5.3413801193237305,-11.35612678527832,1315758080
32,3.9370462894439697,-1.2370538711547852,-6.23278284072876,-9.20068645477295,1315758080
33,3.601302146911621,-1.5247526168823242,-6.892183303833008,-5.995680809020996,1315758080
34,2.6581404209136963,-0.7033348083496094,-5.481389045715332,-4.1551713943481445,1315758080
35,1.3115506172180176,-0.5463685989379883,-4.289342880249023,-6.346233367919922,1315758080
36,3.1592700481414795,-3.550530433654785,-9.838900566101074,-8.979108810424805,1315758080
37,6.123576641082764,-2.3690433502197266,-9.95406436920166,-7.9612836837768555,1315758080
38,4.382948398590088,-7.309844493865967,-5.726996898651123,-6.703354835510254,1315758080
39,3.9434173107147217,-5.35995626449585,-7.177504062652588,-8.167877197265625,1315758080
40,5.938006401062012,-5.237926959991455,-6.938587665557861,-7.188702583312988,1315758080
41,5.060395240783691,-1.8552875518798828,-5.5713958740234375,-8.57715892791748,1315758080
42,6.188996315002441,-8.416769027709961,-7.408165454864502,-11.665558815002441,1315758080
43,3.7368996143341064,-3.6811904907226562,-8.206430435180664,-10.066020011901855,1315758080
44,7.228816032409668,-2.903156280517578,-6.623355865478516,-10.026269912719727,1315758080
