item,entropy,expected_logprob,within_logprob,between_logprob,parameters
1,5.660682678222656,-3.632061004638672,-7.367977142333984,-5.1761932373046875,405334016
2,5.597471237182617,-8.16327953338623,-5.406534194946289,-6.506319999694824,405334016
3,4.474414348602295,-3.2564449310302734,-7.648094177246094,-8.80202579498291,405334016
4,5.681028366088867,-6.22517204284668,-8.975641250610352,-9.096065521240234,405334016
5,3.5799124240875244,-1.9844379425048828,-5.300189971923828,-8.292867660522461,405334016
6,3.544442653656006,-5.034549713134766,-7.958624839782715,-9.695971488952637,405334016
7,5.756961822509766,-7.653682708740234,-9.987258911132812,-8.532417297363281,405334016
8,6.514187335968018,-5.829892158508301,-7.044915199279785,-6.636421203613281,405334016
9,4.9886651039123535,-1.7028541564941406,-6.135332107543945,-10.002796173095703,405334016
10,5.144865989685059,-6.696754455566406,-5.260341644287109,-7.713779449462891,405334016
11,6.171336650848389,-6.596893310546875,-10.212072372436523,-8.406982421875,405334016
12,5.221200466156006,-4.242912292480469,-6.361488342285156,-6.153790473937988,405334016
13,4.656154632568359,-2.856395721435547,-3.1821651458740234,-5.665926933288574,405334016
14,3.3575897216796875,-2.096343994140625,-3.6437625885009766,-10.230958938598633,405334016
15,2.5532562732696533,-0.6363353729248047,-3.0514297485351562,-7.832052230834961,405334016
16,4.351973056793213,-2.3272132873535156,-4.889951705932617,-6.812160491943359,405334016
17,5.632723808288574,-12.27802848815918,-8.760181427001953,-7.211277008056641,405334016
18,5.184319972991943,-6.552276611328125,-15.046682357788086,-8.208003997802734,405334016
19,5.60982084274292,-4.9149169921875,-8.327699661254883,-11.764507293701172,405334016
20,5.329782485961914,-2.1809844970703125,-7.213273048400879,-10.920083999633789,405334016
21,5.016619682312012,-4.646905899047852,-4.972776412963867,-3.71484375,405334016
22,2.687624454498291,-3.3822689056396484,-6.352829933166504,-5.208046913146973,405334016
23,3.7402336597442627,-2.336404800415039,-5.015903472900391,-8.708684921264648,405334016
24,3.6639792919158936,-1.1857986450195312,-4.609029769897461,-6.318025588989258,405334016
25,2.2104806900024414,-3.7366104125976562,-6.203317642211914,-9.870076179504395,405334016
26,5.693006992340088,-3.131887435913086,-4.999208450317383,-8.599366188049316,405334016
27,4.808905124664307,-8.141777038574219,-4.238914489746094,-5.561559677124023,405334016
28,5.753061294555664,-6.984498023986816,-10.252157211303711,-7.507759094238281,405334016
