item,entropy,expected_logprob,within_logprob,between_logprob
1,4.94978666305542,-2.3783302307128906,-6.551267623901367,-6.911714553833008
2,5.636268615722656,-8.864960670471191,-5.513059616088867,-6.6273345947265625
3,4.572453498840332,-3.4862022399902344,-7.124821662902832,-10.585874557495117
4,4.161192417144775,-6.487490653991699,-10.050954818725586,-8.710536003112793
5,3.9422550201416016,-1.800492286682129,-3.0514400005340576,-7.265686511993408
6,4.352614879608154,-4.088000774383545,-9.317120552062988,-8.514609336853027
7,6.4101643562316895,-6.553384780883789,-9.339530944824219,-7.454305648803711
8,6.666873455047607,-5.358461380004883,-6.975061416625977,-7.366670608520508
9,5.671145915985107,-4.105224609375,-6.305788040161133,-9.771804809570312
10,4.765600681304932,-8.12131118774414,-4.589090824127197,-11.322661399841309
11,5.224682331085205,-5.894441604614258,-11.39040756225586,-9.85993766784668
12,4.966987133026123,-2.231710433959961,-7.17503547668457,-6.806118011474609
13,3.790161609649658,-2.883678674697876,-3.2427749633789062,-4.942285537719727
14,3.301318407058716,-1.6904668807983398,-4.556406497955322,-8.1670503616333
15,2.1486926078796387,-0.5026133060455322,-3.5723612308502197,-7.067069053649902
16,3.228999376296997,-1.491774559020996,-4.183815002441406,-5.588077545166016
17,5.424968719482422,-10.921777725219727,-6.23095703125,-7.385954856872559
18,4.588899612426758,-6.19354248046875,-14.043201446533203,-6.542599678039551
19,4.9573869705200195,-4.006040573120117,-7.341114044189453,-12.24245548248291
20,6.033161163330078,-4.7276458740234375,-8.374135971069336,-9.721269607543945
21,5.329797744750977,-3.555368423461914,-4.801828384399414,-4.13542366027832
22,2.468764305114746,-2.0141115188598633,-5.856328964233398,-6.928830146789551
23,3.6683878898620605,-1.7795767784118652,-6.023994445800781,-5.965450286865234
24,4.753470420837402,-1.9564056396484375,-3.774362564086914,-6.651582717895508
25,5.27639102935791,-1.92877197265625,-3.6349411010742188,-6.530851364135742
26,5.607754230499268,-3.5841217041015625,-4.841581344604492,-10.020176887512207
27,4.582880973815918,-6.445896148681641,-4.125743865966797,-4.7176361083984375
